id,role_id,api_id,view_list,view_others,modify_others,created
d5ef5455-c591-11ec-8e94-56000233e9ec,00d55355-c58d-11ec-8e94-56000233e9ec,0fc763ee-c58e-11ec-8e94-56000233e9ec,1,1,1,"2022-04-26 14:51:09.000000"
d6093ddd-c591-11ec-8e94-56000233e9ec,00d55355-c58d-11ec-8e94-56000233e9ec,0fe0cc48-c58e-11ec-8e94-56000233e9ec,1,1,1,"2022-04-26 14:51:09.000000"
d6228521-c591-11ec-8e94-56000233e9ec,00d55355-c58d-11ec-8e94-56000233e9ec,0ffa67aa-c58e-11ec-8e94-56000233e9ec,1,1,1,"2022-04-26 14:51:09.000000"
d63c5cac-c591-11ec-8e94-56000233e9ec,00d55355-c58d-11ec-8e94-56000233e9ec,10140e9c-c58e-11ec-8e94-56000233e9ec,1,1,1,"2022-04-26 14:51:09.000000"
d655d7d5-c591-11ec-8e94-56000233e9ec,00bc5329-c58d-11ec-8e94-56000233e9ec,0fc763ee-c58e-11ec-8e94-56000233e9ec,1,1,0,"2022-04-26 14:51:09.000000"
d66fb190-c591-11ec-8e94-56000233e9ec,00bc5329-c58d-11ec-8e94-56000233e9ec,0fe0cc48-c58e-11ec-8e94-56000233e9ec,0,0,0,"2022-04-26 14:51:09.000000"
d6892945-c591-11ec-8e94-56000233e9ec,00bc5329-c58d-11ec-8e94-56000233e9ec,0ffa67aa-c58e-11ec-8e94-56000233e9ec,1,0,0,"2022-04-26 14:51:09.000000"
d6a323ea-c591-11ec-8e94-56000233e9ec,00a1fc9f-c58d-11ec-8e94-56000233e9ec,0ffa67aa-c58e-11ec-8e94-56000233e9ec,0,0,0,"2022-04-26 14:51:09.000000"
